id,name,abbreviation
1,Alabama,AL
2,Alaska,AK
3,Arizona,AZ
4,Arkansas,AR
5,California,CA
6,Colorado,CO
7,Connecticut,CT
8,Delaware,DE
9,District of Columbia,DC
10,Florida,FL
11,Georgia,GA
12,Hawaii,HI
13,Idaho,ID
14,Illinois,IL
15,Indiana,IN
16,Iowa,IA
17,Kansas,KS
18,Kentucky,KY
19,Louisiana,LA
20,Maine,ME
21,Montana,MT
22,Nebraska,NE
23,Nevada,NV
24,New Hampshire,NH
25,New Jersey,NJ
26,New Mexico,NM
27,New York,NY
28,North Carolina,NC
29,North Dakota,ND
30,Ohio,OH
31,Oklahoma,OK
32,Oregon,OR
33,Maryland,MD
34,Massachusetts,MA
35,Michigan,MI
36,Minnesota,MN
37,Mississippi,MS
38,Missouri,MO
39,Pennsylvania,PA
40,Rhode Island,RI
41,South Carolina,SC
42,South Dakota,SD
43,Tennessee,TN
44,Texas,TX
45,Utah,UT
46,Vermont,VT
47,Virginia,VA
48,Washington,WA
49,West Virginia,WV
50,Wisconsin,WI
51,Wyoming,WY
